BSS00020	H3K4me2	FINAL_H3K4me2_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	H3K4me3	FINAL_H3K4me3_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	H3K9me3	FINAL_H3K9me3_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	RAD21	FINAL_RAD21_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	SMC3	FINAL_SMC3_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00021	EP300	FINAL_EP300_BSS00021.sub_VS_FINAL_WCE_BSS00021.pval.signal.bedgraph.gz
BSS00021	H3K27ac	FINAL_H3K27ac_BSS00021.sub_VS_FINAL_WCE_BSS00021.pval.signal.bedgraph.gz
BSS00022	EP300	FINAL_EP300_BSS00022.sub_VS_FINAL_WCE_BSS00022.pval.signal.bedgraph.gz
BSS00022	H3K27ac	FINAL_H3K27ac_BSS00022.sub_VS_FINAL_WCE_BSS00022.pval.signal.bedgraph.gz
BSS00023	CTCF	FINAL_CTCF_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	DNase-seq	FINAL_DNase-seq_BSS00023.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00023	EP300	FINAL_EP300_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	H3K27ac	FINAL_H3K27ac_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	H3K4me1	FINAL_H3K4me1_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	H3K4me2	FINAL_H3K4me2_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	H3K4me3	FINAL_H3K4me3_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	H3K9me3	FINAL_H3K9me3_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	RAD21	FINAL_RAD21_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00023	SMC3	FINAL_SMC3_BSS00023.sub_VS_FINAL_WCE_BSS00023.pval.signal.bedgraph.gz
BSS00024	CTCF	FINAL_CTCF_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	DNase-seq	FINAL_DNase-seq_BSS00024.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00024	EP300	FINAL_EP300_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	H3K27ac	FINAL_H3K27ac_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	H3K4me1	FINAL_H3K4me1_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	H3K4me2	FINAL_H3K4me2_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	H3K4me3	FINAL_H3K4me3_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	H3K9me3	FINAL_H3K9me3_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	RAD21	FINAL_RAD21_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00024	SMC3	FINAL_SMC3_BSS00024.sub_VS_FINAL_WCE_BSS00024.pval.signal.bedgraph.gz
BSS00025	ATAC-seq	FINAL_ATAC-seq_BSS00025.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00025	CTCF	FINAL_CTCF_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	DNase-seq	FINAL_DNase-seq_BSS00025.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00025	EP300	FINAL_EP300_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	H3K27ac	FINAL_H3K27ac_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	H3K4me1	FINAL_H3K4me1_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	H3K4me2	FINAL_H3K4me2_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	H3K4me3	FINAL_H3K4me3_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	H3K9me3	FINAL_H3K9me3_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	RAD21	FINAL_RAD21_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00025	SMC3	FINAL_SMC3_BSS00025.sub_VS_FINAL_WCE_BSS00025.pval.signal.bedgraph.gz
BSS00026	CTCF	FINAL_CTCF_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	DNase-seq	FINAL_DNase-seq_BSS00026.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00026	EP300	FINAL_EP300_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
